Agent,City,Company,Description,Listing_ref,Price_2015,Price_2016,Price_2017,Price_2018,Price_2019,Price_2020,Price_2021,Price_2022,Price_2023,Price_2024,Price_2025,Property_type,Province,Surbub,amenities,bathrooms,bedrooms,building_area,land_area,listing_url
Daisy ,Harare North,/estate-agents/guest-and-tanner,"Experience luxury living in this stunning, recently built residence, nestled in the heart of Greystone. *Main House with 4 spacious bedrooms, each with en-suite bathrooms and ample natural light - Expansive walk-in wardrobe in the main bedroom, perfect for discerning tastes - Spacious lounge and dining area, ideal for entertaining - A walk-in pantry Open-plan lounge and kitchen, perfect for cozy gatherings Outdoor Oasis - Incomplete swimming pool, awaiting your personal touch - Borehole  with a 5000 littre tank . Features - Recently built with modern finishes - Ample natural light and ventilation - Secure and tranquil neighborhood Investment Opportunity Don't miss this rare chance to own a piece of paradise in Greystone. Contact us today to schedule a viewing. Recently built. Secure. Tranquil.",Listing ref: GAT205567,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 240,000 ",House,Harare,Greystone Park,,,4,267 m²,600 m²,https://www.property.co.zw//for-sale/houses-gat205567
Sibukele Maphosa,Gweru,/estate-agents/seeff,"Twin houses. 60k each Ready for deeds. 230mm wall built with facebrick. Area is well sought after by msu students. 3km from msu main campus. Spacious rooms The houses are identical, each house is comprised of 7 Rooms. 252 sqm 5 bedrooms 1 lounge 1 Spacious kitchen 2 full bathrooms Zesa and water connected. Ceiling and tiled Fiber optic wi-fi 3kva solar system Borehole 5000l water tank",Listing ref: SEF205695,32000.0,30000.0,31000.0,35000.0,35000.0,35000.0,40000.0,30000.0,45000.0,60000.0,"USD 60,000 ",House,Midlands Province,Nehosho,,2,5,200 m²,252 m²,https://www.property.co.zw//for-sale/houses-sef205695
Simon Mbendera,Harare West,/estate-agents/khalida-realty,"Westlea Immaculate House For Sale Sitting on 1000Sqm Developer Cession Ground Floor Double Lock Up Garage Commodious Lounge Open Plan Kitchen and Dining kitchen with fine Linen cupboards Scullery  and granite tops Bed 1 with dressing area Toilet with pedestal washing Basin Bed2 ensuite with   Corner tub and BICs 1St Floor Stairs with Morden Metal stair Railing and Balusters Private Lounge with a Bar area with linen cupboards and neat ceiling Big Private Balcony Main Bedroom with Private Dressing Area Ensuite with cabinate WC,Cnr Bathtub Interleading Sunny Bedroom ensuite with a Corner Bathtub Paved Landscape 5000ltr water tank Cottage 3 Beds Spacious Lounge Storeroom Combined Toilet and Bathroom Kitchen with cupboards MainBedroom Ensuite with Shower Cubicle and pedestal sink and wall tiles Roof With Fisca boards Double concrete Basin Sink Braii Area Electric fence Gyser Tank with pressure pump Carpot Fowl Run",Listing ref: KHA193364,115000.0,110000.0,110000.0,120000.0,100000.0,95000.0,95000.0,110000.0,120000.0,135000.0,"USD 150,000 ",House,Harare,Westlea,"Borehole,Electric Gate,Entertainment Area,Fireplace,Fitted Kitchen,Flatlet/Cottage,Gravel Roads,Internet Connection,Main En Suite,Paved,Sewer System,Solar System,Study/Office,Tarred Roads,Tiled,Verandah,Walled,Water Tank",5,4,600 m²,"1,000 m²",https://www.property.co.zw//for-sale/houses-kha193364
Arthur Makaza,Harare South,/estate-agents/lucile,"This property listing showcases a recently built cluster house sitting on 370sqm yard located in a well-secured gated community of Arlington Estate. The cluster house features four bedrooms, including a master bedroom complete with an ensuite bathroom and a closet, a separate common bathroom, and a toilet for the other three bedrooms. The open-plan design offers a spacious lounge that flows seamlessly into the dining area, providing ample space for gatherings and entertainment. The kitchen has all necessary fittings. Externally, the property benefits from a storeroom and an attached toilet and a 5000-litre water tank for water storage and supply . It has an outside concrete sink covered with wall tiles and most of the yard is paved. Municipal water available. All serious offers will be considered. Ready for Deeds.",Listing ref: LCRE211798,70000.0,,,0.0,95000.0,109000.0,115000.0,125000.0,147000.0,155000.0,"USD 150,000 ",House,Harare,Arlington,"Main En Suite,Parking bay,Tarred Roads,Tiled,Water Tank",2,4,,370 m²,https://www.property.co.zw//for-sale/houses-lcre211798
Francisca  Ristonya,Harare North,/estate-agents/aeg-properties,"Unveiling an extraordinary 4-bedroom home nestled in the lush suburbs of Mount Pleasant, Harare North. This prestigious property sits impressively on a sprawling 4065 m² parcel of prime real estate, providing an undeniable sense of freedom and tranquillity. The dwelling offers a generous building area of 500 m², exuding an elegance that blends appealing aesthetics with comfortable living space. The house, boasting 4 spacious bedrooms and 2 immaculate bathrooms, perfectly caters to mid-sized families seeking a blend of modernity and comfort. The master suite allures with its design, spaciousness, and ample wardrobe space. The living areas offer up an inviting and open plan intrigue that flow seamlessly together, providing a rich, warm family feel. This home's charm is further amplified by the splendid exterior features that include a refreshing swimming pool – a luxurious component of the property providing the ultimate relaxation and relief from Zimbabwe's sunny days. Adding to the house's sustainability and self-sufficiency is the well-maintained borehole that guarantees constant water supply all through the year. Located at the heart of Harare North, this property assures you of easy accessibility to various social amenities, schools, shops and entertainment spots, yet sits in a relatively quiet neighbourhood away from the city humdrum. The proud new owners will not only own a magnificent home, but also a fantastic investment opportunity in one of Harare's highly sought-after suburbs. This is the ultimate haven for those who appreciate family-oriented and harmonious living with a touch of luxury. Don't miss out on making this spectacular Zimbabwean home your own!",Listing ref: AEGP209202,240000.0,240000.0,262500.0,350000.0,277500.0,257500.0,270000.0,290000.0,350000.0,400000.0,"USD 390,000 ",House,Harare,Mount Pleasant,"Borehole,Swimming Pool,Electric Gate,Fireplace,Fitted Kitchen,Flatlet/Cottage,Garden,Good ZESA,Main En Suite,Municipal Water,Sewer System,Staff Quarters,Tiled,Walled,Water Tank,Wooden Floor",2,4,500 m²,"4,065 m²",https://www.property.co.zw//for-sale/houses-aegp209202
Tatenda Matongoti,Harare High Density,/estate-agents/guest-and-tanner,"Spacious 7 roomed house in Kuwadzana Extension, sitting on 300m². Floor tiles, Ceiling, Gated and with Durawall. Built up area with Electricity, tarred roads and sewer located few meters from Bulawayo RD. Asking Price 40 000, slightly negotiable.Clean Title Deeds Contact Tatenda for viewing",Listing ref: GAT217338,,,,,,,,,,35000.0,"USD 40,000 ",House,Harare,Kuwadzana,"Good ZESA,Main Road Frontage,Municipal Water,Tiled,Walled",,3,,300 m²,https://www.property.co.zw//for-sale/houses-gat217338
Tafara Leslie Mande,Harare North,/estate-agents/plaza-properties,"Welcome to this stunning and well-maintained property located in the heart of Kennedy Drive, a mature, serene, and high-value neighborhood. Priced at US$450,000 (Asking), this beautifully presented home offers a perfect blend of luxury, convenience, and modern living. Main Features: Main House: 4 spacious bedrooms with built-in cupboards, including a shared en-suite setup Cottage/Staff Quarters: Self-contained 2-bedroomed cottage with a kitchen and bathroom Living Areas: Open-plan lounge, dining, and kitchen — all fully tiled for easy maintenance Outdoor Amenities: Two parks pull-up garage Nice, well-maintained garden with outdoor concrete seating and cushions Paved pathway and garden taps Storeroom for additional storage Utilities & Extras: Water: 60m prolific borehole 5000-litre water tank Septic tank system *Power:* 3kVA solar system Change-over switch for generator backup Automated switch for external lighting Connectivity: Fibre internet by Liquid Telecom Security: Automated gate for enhanced safety and convenience This is a rare opportunity to own a solid investment in one of the most desirable areas in Harare. Ideal for families seeking space, comfort, and quality finishes. Contact now to schedule a viewing!",Listing ref: PLZP218548,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 450,000 ",House,Harare,Greendale North,"Borehole,Electric Gate,Fireplace,Fitted Kitchen,Flatlet/Cottage,Garage,Garden,Good ZESA,Internet Connection,Main En Suite,Paved,Solar System,Staff Quarters,Tarred Roads,Tiled,Verandah,Walled,Water Tank,Workshop",2,4,200 m²,"4,326 m²",https://www.property.co.zw//for-sale/houses-plzp218548
Emma Rous,Harare North,/estate-agents/pam-golding,"What a wonderful opportunity to acquire a luxurious family home or a versatile business space! Set on a sizeable 4,835sqm, this beautiful property is situated on a highly sought-after road in Highlands. It boasts a resplendent main house, a charming cottage, and an office block, making it an ideal investment for those seeking a luxurious lifestyle or a savvy business venture. The elegant main house, features four spacious bedrooms, two elegant bathrooms, and an array of sunny living areas. The interior is adorned with beautiful Oregon pine floors, window frames, and doors, creating a warm and inviting atmosphere. The large kitchen and dining area are perfect for entertaining and includes a scullery. A sun room overlooks the garden while the study overlooks a sun-drenched courtyard. In addition to the main house, the property features a charming two-bedroom, one-bathroom cottage with its own private garden. This delightful cottage is perfect for guests, or even private offices. The office block, complete with a verandah, offers additional space for your business ventures. The property's outdoor spaces are equally lovely, with a sparkling pool, and an English-style kitchen garden. The separate outdoor entertainment area is perfect for hosting family gatherings, dinner parties, or corporate events. Whether you're seeking a beautiful family home, a versatile business space, or a combination of both, this incredible property in Highlands offers so much versatility. Don't miss this rare opportunity to acquire a piece of paradise. Contact us today to schedule a viewing and make this magnificent property yours!",Listing ref: PGP214175,295000.0,315000.0,280000.0,280000.0,320000.0,260000.0,310000.0,310000.0,460000.0,450000.0,"USD 1,100,000 ",House,Harare,Highlands,"Borehole,Swimming Pool,Electric Gate,Entertainment Area,Fireplace,Flatlet/Cottage,Garage,Garden,Solar System,Staff Quarters,Study/Office,Verandah,Wooden Floor",2,4,550 m²,"4,835 m²",https://www.property.co.zw//for-sale/houses-pgp214175
Cosmore  Mangwiro,Harare South,/estate-agents/deepstateincorporated,"??Refined Elegance in Arlington East* Situated in a highly sought after neighborhood, Arlington East. Sitting on 500Sqm ??Deeds All Beds with BICs. With Fixed and Awning Windows to ensure ambient air and lighting. ??Main Bed ensuite with walk in closet, Corner bathtub,Cabinet washing basin with porcelain wall tiles and shower cubicle. fixed and awning window to ensure natural ambiance. ??Comes with a Double Lock Up garage and a formal and centrally positioned Lounge with a modern TV unit, open plan lounge and Kitchen. ??Top notch kitchen resembling a hub of the house,with granite countertops and a separate scullery. ??Combined Bathroom and toilet with glazed Wall Tiles to give an exceptional aesthetic appeal. Comes with a coner bathtub and a free standing and ceramic washing basin. Lush and verdant Garden. Neat Swimming Pool. CCTV system. 10Kv solar System ??5000ltr tank plus 2000 ltr tank and a prolific borehole. Wall mounted lights. Electric Gate. Single Concrete basin Walled And Gated.",Listing ref: DSI213060,70000.0,,,0.0,95000.0,109000.0,115000.0,125000.0,147000.0,155000.0,"USD 255,000 ",House,Harare,Arlington,"Borehole,Swimming Pool,Electric Gate,Garage,Good ZESA,Main En Suite,Solar System,Tiled,Walled",2,4,,500 m²,https://www.property.co.zw//for-sale/houses-dsi213060
Nigel Dende,Harare West,/estate-agents/guest-and-tanner,"Located in Greencroft is a 3-bed golden oldie with an open plan lounge, kitchen, well renovated sitting on 762 sqm. This property is located in a peaceful neighborhood and comes with a 5000l water tank. The property is under a title deed ownership",Listing ref: GAT214342,115000.0,110000.0,110000.0,120000.0,100000.0,95000.0,95000.0,110000.0,120000.0,135000.0,"USD 140,000 ",House,Harare,Greencroft,"Fitted Kitchen,Flatlet/Cottage,Good ZESA,Verandah,Water Tank",,3,,762 m²,https://www.property.co.zw//for-sale/houses-gat214342
Panashe ,Harare West,/estate-agents/property-dreams,"Discover this well-maintained 3-bedroom home in the highly sought-after Madokero neighborhood. Conveniently located close to Madokero Mall, this property offers both comfort and security. ? Property Features: ? 3 spacious bedrooms ? Fully paved yard all around the house ? Securely walled and gated ? Prime location near essential amenities Don’t miss this fantastic opportunity to own a home in a well-developed and secure area!",Listing ref: PTD217099,115000.0,110000.0,110000.0,120000.0,100000.0,95000.0,95000.0,110000.0,120000.0,135000.0,"USD 70,000 ",House,Harare,Madokero,"Main En Suite,Municipal Water",2,3,250 m²,400 m²,https://www.property.co.zw//for-sale/houses-ptd217099
Shannon Vos,Harare West,/estate-agents/pam-golding,"Pam Golding Properties are proud to present this magnificent property sitting on 4186sqm, on the prestigious Avondale Ridge, comprising: Six large bedrooms, four of which are en-suite Spacious Primary bedroom suite includes en-suite, walk in wardrobe, and balcony Four lounges Two kitchens- main with built in double SMEG fridge, leading out to the verandah Open plan dining room Entrance hall Fabulous shoe room Office Five full bathrooms total Guest bathroom Additional Features: Option to purchase furniture Mature and manicured garden with underground sprinkler system Prolific borehole Incredible outdoor entertainment area overlooking the garden Triple lock up garage with plenty of parking space Beautiful swimming pool Double domestic quarters 2x store rooms 1x 5KVA and 1x 1. 5 KVA inverter systems included.",Listing ref: PGP205812,115000.0,110000.0,110000.0,120000.0,100000.0,95000.0,95000.0,110000.0,120000.0,135000.0,"USD 735,000 ",House,Harare,Avondale - The Ridge,"Borehole,Fully Furnished,Swimming Pool,Air Conditioning,Burglar Alarm,Carport,Double Storey,Electric Fence,Electric Gate,Entertainment Area,Fireplace,Fitted Kitchen,Garage,Garden,Internet Connection,Main En Suite,Parking bay,Paved,Solar System,Staff Quarters,Study/Office,Tiled,Verandah,Walled,Water Tank,Wooden Floor,Workshop",6,6,"1,500 m²","4,186 m²",https://www.property.co.zw//for-sale/houses-pgp205812
Robert Chafa,Harare North,/estate-agents/defiance,"A beautiful double storey masterpiece in Glenlorne 4 beds and main ensuite, fitted kitchen 2 lounges and dining double lock up garage beautiful views sitting on a 1 acre and a quarter (4 685sqm) located in the famous Folyjon in Glen Lorne asking price $500k reduced for a quick sale full title deeds",Listing ref: DFP216688,355000.0,280000.0,350000.0,349999.5,422500.0,250000.0,360000.0,320000.0,400000.0,450000.0,"USD 500,000 ",House,Harare,Glen Lorne,,,4,"4,685 m²","4,685 m²",https://www.property.co.zw//for-sale/houses-dfp216688
Memory Jerahuni,Harare North,/estate-agents/leanvest-properties,"The property is located in a gated community in Glen Lorne (within boomgate) with Full title deeds,1 acre of prime land, Borehole with 10,000L water tank, 70,000L water reservoir, Solar power and solar geyser. The Property Features 5 spacious bedrooms, each with walk-in closet and en-suite bathroom, Main bedroom boasts a balcony with stunning views. Modern, fully fitted kitchen with granite tops, center island, walk-in pantry, and separate scullery, Open-plan lounge and dining area, Second lounge, Entertainment area and bar, Office/Study, Gym, Double garage, 1-bedroom cottage with kitchen and lounge, Secure area within boomgate",Listing ref: LNVP213611,355000.0,280000.0,350000.0,349999.5,422500.0,250000.0,360000.0,320000.0,400000.0,450000.0,"USD 800,000 ",House,Harare,Glen Lorne,"Borehole,Double Storey,Entertainment Area",,5,"4,047 m²","4,047 m²",https://www.property.co.zw//for-sale/houses-lnvp213611
Aaron Kalisa,Harare West,/estate-agents/propertynetrealtor,"Property Details - Location: Marlborough, Harare - Plot Size: 4600 square meters - Title Deeds: Available Main House Features - Bedrooms: 4 spacious bedrooms - Bathrooms: 2 elegant en-suite bathrooms, plus an additional separate toilet and bathroom with bath tub and shower cubicles - Lounges: 2 expansive lounges for relaxation and entertainment - Dining Area: Formal dining area ideal for hosting guests - Kitchen: Fitted kitchen equipped with a pantry for convenient storage Additional Features - Cottage: Charming 2-bedroom cottage with lounge, kitchen, and own inside toilet with bath tub - Water Supply: - 5000-litre water tank for reliable supply - Dual water sources: ZESA and Council water - Security: Securely walled and gated property Asking Price - $300,000 USD (negotiable) - Payment Options: Accepting Government Nostro payment This luxurious residence offers a unique blend of comfort, serenity, and style, making it an ideal dream home for discerning buyers.",Listing ref: PNR218513,135000.0,135000.0,140000.0,150000.0,150000.0,150000.0,160000.0,160000.0,177000.0,270000.0,"USD 300,000 ",House,Harare,Marlborough,"Entertainment Area,Fireplace,Fitted Kitchen,Flatlet/Cottage,Garage,Garden,Good ZESA,Main En Suite,Municipal Water,Parking bay,Tarred Roads,Walled,Verandah,Water Tank",3,4,380 m²,"4,600 m²",https://www.property.co.zw//for-sale/houses-pnr218513
